Character        Frequency                   Codeword
''               0.0%                11110110010011000111100
' '               1.9897%                110
'$'               0.0002%                11110110010011110
'('               0.0034%                111010000000
','               0.1531%                010100
'0'               0.006%                10000101111
'4'               0.0048%                111101110011
'8'               0.005%                111101110111
'<'               0.0%                11110110010011000111101
'@'               0.0%                11110110010011000110
'D'               0.0079%                11110100100
'H'               0.0145%                1110100010
'L'               0.0054%                10000100100
'P'               0.0176%                1111011011
'T'               0.0319%                111101000
'X'               0.0012%                11110110010010
'd'               0.4085%                10100
'h'               0.5613%                11111
'l'               0.3746%                10001
'p'               0.1707%                010110
't'               0.8596%                1011
'x'               0.0174%                1111011010
'|'               0.0008%                10000100101110
'#'               0.0015%                1000010010110
"'"               0.0196%                1111011110
'+'               0.0002%                11110110010011001
'/'               0.0002%                11110110010011111
'3'               0.0049%                111101110110
'7'               0.0037%                111010001101
';'               0.0069%                11101000001
'?'               0.0082%                11110100110
'C'               0.012%                1000010110
'G'               0.0062%                10101000100
'K'               0.0032%                101010001011
'O'               0.0081%                11110100101
'S'               0.017%                1111011000
'W'               0.0123%                1010100001
'['               0.0008%                10000100101111
'_'               0.0108%                11110111111
'c'               0.2639%                111100
'g'               0.1794%                010111
'k'               0.0597%                11101001
'o'               0.7402%                0111
's'               0.6283%                0001
'w'               0.1841%                100000
'\n'               0.2397%                111001
'"'               0.0514%                10101001
'&'               0.0%                1111011001001100001
'*'               0.0009%                11110110010001
'.'               0.1156%                1010101
'2'               0.006%                10000101110
'6'               0.0039%                111010001110
':'               0.0036%                111010000111
'>'               0.0%                11110110010011000111110
'B'               0.0116%                1000010011
'F'               0.0088%                11110111000
'J'               0.0026%                100001001010
'N'               0.0129%                1010100011
'R'               0.0109%                1000010000
'V'               0.0036%                111010001100
'Z'               0.0003%                1111011001001101
'^'               0.0%                111101100100110001110
'b'               0.129%                1110101
'f'               0.2258%                101011
'j'               0.0096%                11110111010
'n'               0.6983%                0110
'r'               0.5823%                0000
'v'               0.0968%                1000011
'z'               0.007%                11101000010
'~'               0.0%                11110110010011000111111
'\t'               0.0%                1111011001001100010
'!'               0.0086%                11110110011
'%'               0.0%                1111011001001100000
')'               0.0034%                111010000001
'-'               0.0338%                111101011
'1'               0.011%                1000010001
'5'               0.0043%                111101100101
'9'               0.0039%                111010001111
'='               0.0035%                111010000110
'A'               0.024%                100001010
'E'               0.0108%                11110111110
'I'               0.0337%                111101010
'M'               0.0122%                1010100000
'Q'               0.0003%                1111011001001110
'U'               0.0031%                101010001010
'Y'               0.0045%                111101110010
']'               0.0008%                11110110010000
'a'               0.7635%                1001
'e'               1.211%                001
'i'               0.669%                0100
'm'               0.2322%                111000
'q'               0.0083%                11110100111
'u'               0.2629%                111011
'y'               0.1695%                010101
Average Codeword Length:4.5442
Original Size (bits):50689368
Encoding Size (bits):28792974
Compression Ratio:56.8028%
